fasta	gc
GRE204	70.71290834173314
GRE243	52.89564561596602
3300047160_127	41.10655292260172
GRE123	72.98351214884605
3300047160_666	67.17680242871918
GRE257	65.94397227052755
3300047160_876	35.042960236642514
GRE293	72.14094646093649
3300047160_97	67.20238616750626
3300047160_1076	55.34750964733633
GRE71	71.90415974567283
GRE.bulkMG.AN111_bin.7	62.64107022247983
GRE27	73.17593377111388
GRE250	69.9419212792044
GRE227	70.8517002563985
timezero.00C.oxic.00.000.000_bin.7	61.44025824637583
GRE272	65.30980509651917
3300047160_628	64.99932681518197
GRE181	74.56523152338912
3300047160_877	62.111154629921465
GRE15	70.93039001863825
3300047160_901	66.92831355528817
GRE114	68.3387889700507
GRE.SIPMG.176b2f20_bin.13	71.51372298683135
3300047160_164	71.32592799888403
GRE.bulkMG.AN111_bin.6	54.8095747634656
GRE298	67.39193317374068
GRE262	64.87353667820166
3300047160_334	65.77551556478738
GRE35	60.95463066883064
3300047160_732	50.20052438647536
GRE.bulkMG.HF172_bin.33	61.47753839042374
3300047160_757	70.86628163954954
GRE.SIPMG.053b4f27_bin.10	59.01765745503543
3300047160_888	55.011435346827064
3300047160_509	65.85688948534381
GRE55	70.74147684613338
3300047160_990	62.58096973804422
GRE80	68.96676282137365
GRE.bulkMG.OX082_bin.26	61.51400563637456
GRE.SIPMG.066b5f18_bin.8	65.391829054926
GRE317	60.85320714579557
GRE312	68.41484985686206
GRE196	61.62002786514489
GRE229	62.09349961856208
GRE.SIPMG.089b5f20_bin.16	63.10266268137521
GRE.SIPMG.088b5f21_bin.9	35.94015442981889
GRE75	65.53065894947132
3300047160_402	45.06526949366292
GRE.bulkMG.AN108_bin.21	71.78160157310725
GRE103	70.65930542007952
GRE.bulkMG.OX082_bin.8	58.29664423097135
3300047160_692	68.42277061986826
GRE119	59.18733153193847
GRE17	66.4607616376912
GRE219	64.09456196762056
GRE95	68.77744129155015
3300047160_1190	71.77658461527858
3300047160_50	65.6816397498831
GRE34	61.23138572371727
GRE173	61.811018992848695
GRE112	66.33624589428754
3300047160_742	64.54773790377072
GRE233	73.4358157239435
3300047160_972	64.8894067285954
GRE.SIPMG.053b4f24_bin.3	61.61523746084966
GRE.SIPMG.084b2f18_bin.11	61.13281588265409
maxbin2.0512	52.92494372121877
3300047160_1193	66.97863701160236
GRE197	59.82203936761687
GRE323	55.154404523348745
GRE.SIPMG.084b2f18_bin.1	61.328088897250055
GRE.SIPMG.108b1f25_bin.7	72.92606315392534
GRE267	48.43232827519915
GRE203	59.19489921768837
GRE.SIPMG.109b1f22_bin.23	71.84650216810144
3300047160_214	61.21399381136931
3300047160_328	68.78561832758773
GRE.SIPMG.053b4f26_bin.4	61.115909332667314
GRE.SIPMG.176b2f21_bin.2	61.270923029094035
GRE.SIPMG.176b2f19_bin.7	72.25280098093558
3300047160_660	70.95444046503657
3300047160_924	65.21331238557109
3300047160_804	66.68091098295015
GRE160	64.45693303641578
GRE.SIPMG.108b1f22_bin.21	61.52861633276451
3300047160_904	69.23254054330242
GRE133	48.002541914220615
GRE.SIPMG.109b1f22_bin.2	70.20555800446579
GRE188	74.50014525074535
GRE.SIPMG.066b5f18_bin.10	47.98320088790963
3300047160_929	61.01102333267302
GRE79	59.01579901705817
3300047160_674	61.209449779395996
GRE.SIPMG.108b1f22_bin.2	65.33387736254379
3300047160_967	68.0233678007926
GRE.SIPMG.052b4f22_bin.13	71.64319689770508
GRE240	66.35182190362583
3300047160_369	63.656243311777786
GRE.SIPMG.065b5f21_bin.7	71.78941853106741
