bins	GRE.bulkMG.AN108_Mean	GRE.bulkMG.AN111_Mean	GRE.bulkMG.HF170_Mean	GRE.bulkMG.HF172_Mean	GRE.bulkMG.LF176_Mean	GRE.bulkMG.LF178_Mean	GRE.bulkMG.OX080_Mean	GRE.bulkMG.OX082_Mean	GRE.bulkMG.T0000_Mean	GRE.bulkMG.T000H_Mean	GRE.SIPMG.052b4f22_Mean	GRE.SIPMG.052b4f23_Mean	GRE.SIPMG.052b4f24_Mean	GRE.SIPMG.052b4f25_Mean	GRE.SIPMG.052b4f26_Mean	GRE.SIPMG.053b4f23_Mean	GRE.SIPMG.053b4f24_Mean	GRE.SIPMG.053b4f25_Mean	GRE.SIPMG.053b4f26_Mean	GRE.SIPMG.053b4f27_Mean	GRE.SIPMG.065b5f19_Mean	GRE.SIPMG.065b5f20_Mean	GRE.SIPMG.065b5f21_Mean	GRE.SIPMG.065b5f22_Mean	GRE.SIPMG.065b5f23_Mean	GRE.SIPMG.066b5f18_Mean	GRE.SIPMG.066b5f19_Mean	GRE.SIPMG.066b5f20_Mean	GRE.SIPMG.066b5f21_Mean	GRE.SIPMG.066b5f22_Mean	GRE.SIPMG.082b2f19_Mean	GRE.SIPMG.082b2f20_Mean	GRE.SIPMG.082b2f21_Mean	GRE.SIPMG.082b2f22_Mean	GRE.SIPMG.082b2f23_Mean	GRE.SIPMG.082b2f24_Mean	GRE.SIPMG.084b2f17_Mean	GRE.SIPMG.084b2f18_Mean	GRE.SIPMG.084b2f19_Mean	GRE.SIPMG.084b2f20_Mean	GRE.SIPMG.084b2f21_Mean	GRE.SIPMG.084b2f22_Mean	GRE.SIPMG.088b5f20_Mean	GRE.SIPMG.088b5f21_Mean	GRE.SIPMG.088b5f22_Mean	GRE.SIPMG.088b5f23_Mean	GRE.SIPMG.088b5f24_Mean	GRE.SIPMG.089b5f20_Mean	GRE.SIPMG.089b5f21_Mean	GRE.SIPMG.089b5f22_Mean	GRE.SIPMG.089b5f23_Mean	GRE.SIPMG.089b5f24_Mean	GRE.SIPMG.089b5f25_Mean	GRE.SIPMG.108b1f22_Mean	GRE.SIPMG.108b1f23_Mean	GRE.SIPMG.108b1f24_Mean	GRE.SIPMG.108b1f25_Mean	GRE.SIPMG.109b1f22_Mean	GRE.SIPMG.109b1f23_Mean	GRE.SIPMG.109b1f24_Mean	GRE.SIPMG.109b1f25_Mean	GRE.SIPMG.117b4f26_Mean	GRE.SIPMG.117b4f27_Mean	GRE.SIPMG.117b4f28_Mean	GRE.SIPMG.117b4f29_Mean	GRE.SIPMG.166b4f23_Mean	GRE.SIPMG.166b4f25_Mean	GRE.SIPMG.166b4f26_Mean	GRE.SIPMG.168b4f23_Mean	GRE.SIPMG.168b4f24_Mean	GRE.SIPMG.168b4f25_Mean	GRE.SIPMG.168b4f26_Mean	GRE.SIPMG.169b2f19_Mean	GRE.SIPMG.169b2f20_Mean	GRE.SIPMG.169b2f21_Mean	GRE.SIPMG.169b2f22_Mean	GRE.SIPMG.169b2f23_Mean	GRE.SIPMG.171b2f17_Mean	GRE.SIPMG.171b2f18_Mean	GRE.SIPMG.171b2f19_Mean	GRE.SIPMG.171b2f20_Mean	GRE.SIPMG.174b1f20_Mean	GRE.SIPMG.174b1f21_Mean	GRE.SIPMG.174b1f22_Mean	GRE.SIPMG.174b1f23_Mean	GRE.SIPMG.176b2f18_Mean	GRE.SIPMG.176b2f19_Mean	GRE.SIPMG.176b2f20_Mean	GRE.SIPMG.176b2f21_Mean	GRE.SIPMG.176b2f22_Mean	GRE.SIPMG.178b2f15_Mean	GRE.SIPMG.178b2f16_Mean	GRE.SIPMG.178b2f17_Mean	GRE.SIPMG.178b2f18_Mean	GRE.SIPMG.178b2f19_Mean
3300047160_1000	0	0	0	212.21781435798096	384.6957999551969	567.6137398569479	442.85185658778	311.44834601589247	0	0	710.9434750419284	587.2987773000747	475.9562815910067	0	0	0	0	0	0	0	0	0	0	0	0	615.2146572948535	580.9306974136133	470.3231036887932	399.45692178856456	0	600.9864171998205	619.2775743586784	625.7326714291945	653.0594169452146	632.2779686010069	585.2863177166821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293.1089410329123	0	0	0	0	0	469.3592874302863	483.3967905430759	492.79578965136136	401.6084705031935	403.4948053235562	470.1976212989192	0	639.7059999615595	648.8444386703355	651.5281021979936	582.2244176647841	553.6455556193432	824.5795490257537	877.8745978945723	940.0103922457737	915.9807479796054	975.60479993876
3300047160_1008	467.6855325278709	376.3599013671212	441.9206711816138	489.23614031547396	610.7156049427276	453.0812174314018	423.21608508238035	409.04942517391873	460.5756574338497	459.81968984803547	674.391192560877	710.7594865497164	670.6464592828698	645.5668851125289	430.55627555452435	481.6672698381481	0	0	0	0	637.5601067355537	661.9640725994311	665.091114571582	594.5787418972913	533.9381913074592	835.0639680600598	919.0720345112404	925.4849834754874	1048.849673557723	992.9482063859682	720.4656071259965	744.7858600915621	838.9044948742754	825.6022914392133	765.024217429985	727.135849427874	665.6654677576392	680.4588603949082	707.2903836578332	694.0083328817068	0	602.9536229425045	730.4581153504083	794.4009480576016	785.9792434995445	761.7372072081013	1064.5494401076962	806.5716962136158	777.7782448917778	774.4730949158835	737.6891259514744	637.1881935241613	519.74057101872	835.8212598899695	967.4767195313959	948.3702705943841	897.1432498743866	900.6056764702827	868.3544629423903	823.0382903121599	774.4109173338593	995.7943724986558	880.4182286455462	683.6843186703535	0	796.699046041159	581.0068691324841	504.7067351547946	646.8290077593958	596.77662116434	0	0	785.2033900408669	769.5100225560421	708.3806711313631	757.3864235191767	711.975810420523	670.4267315593439	711.8268981251824	722.9295759701341	809.4402122826417	628.0876390368492	626.9094874462929	707.8334813416035	0	986.333015247334	949.1948552918176	929.2976277972085	891.8978430613242	799.8987541625871	627.6572286712893	660.3381033585187	738.3633390953777	720.1959556157545	761.2232871231072
3300047160_101	427.27323483037696	462.3159532554927	448.12706109392224	327.3709368454113	227.77364697317446	383.95805346978807	326.92649061046933	491.6818231518421	389.0701426028181	383.49913090304216	333.382768364446	466.97872549913995	555.8170700851384	706.4330571078063	603.0638574316257	734.4678229692631	743.5661254263769	713.7244517554471	602.1519983297978	578.2362402933067	590.820775483015	675.1908967880818	726.2344186395384	802.4604887323477	798.3424521285951	0	0	0	459.4510532045596	628.0735408254432	668.3161810710418	687.6722608545936	699.9390381447163	760.3229743954389	804.5620486399787	879.6173187446749	479.8851459749757	489.830080905486	485.52766680094254	497.71363817103537	440.6721132671694	498.29517810338	586.0350732657076	641.2663672763166	686.9861463431077	701.1702505457511	840.6042786720997	444.34930542733923	482.3205284288914	517.993945092506	536.2619768235126	489.7491946542554	439.7133510861111	571.5831398809291	546.7450604469883	590.1299760310551	610.6108961428328	706.4780403388456	714.6700255257981	693.310750233593	734.942762811502	598.5625951376309	704.4323904423352	702.626791751278	514.3437688822204	483.1715661581144	478.5343240955806	428.93391292569453	588.6807051210833	586.2471613523869	578.6499371142138	511.8555261689556	473.748373626161	506.3835047918535	492.39888364976696	517.9191716695481	513.3635480963793	441.09366663176826	482.49145618327145	479.52174424929683	506.4704420383197	644.7092735141264	637.4604227775793	729.1818982603957	698.3181395626348	309.36893555492975	316.1857236695773	338.81720991910055	331.5095437176947	331.48980050547704	433.5270777472549	476.87580197703943	500.05794437535513	499.6847442877318	523.6052702540375
3300047160_1011	594.0705508369169	1113.2619531281125	773.8932682322703	727.2707216766119	925.2312414964084	776.6429252146293	762.0061864894913	722.8086195269235	712.0988781632884	667.234814252755	1396.7787036125465	1610.2076080205004	1614.5427581983733	1377.9127578084335	911.0571657458862	1254.7746459854654	1081.1666713458187	915.3177701591677	0	592.25100709625	1975.2560137096004	2154.406249334514	2078.4547004684496	2078.850983300187	1765.8668410176801	1242.20316996692	1862.5694267564863	2509.8575413273043	3311.744719403601	3211.0900890465778	1694.8698147650498	1835.911155861049	2051.465150018346	2078.7019064023043	1811.527386758995	1535.3927089398599	1119.8362249000636	1143.3644518267008	1166.1591512137281	1126.861368730448	0	1056.4298856013477	1578.1348790396573	1874.7120627712184	1753.985098160097	1741.0051208852885	1745.181862665055	1215.1082199372477	1239.8731200745242	1173.5354435591396	1117.4580964213465	897.4926742119735	0	1366.4077339260998	1545.8562448846371	1558.5936178993813	1508.3728877087565	2572.004009907248	2392.5616132640175	2231.330211594668	1982.2773779139648	1974.3602555606653	1759.3618102741248	1314.603806988555	0	1158.3852261346406	909.9959840235097	780.0551244463421	1395.6241806626217	1253.8960273381026	1135.378032178403	876.8155979208342	1510.7239887756555	1479.827884580647	1439.089306712178	1445.8922621677593	1476.190927651112	1046.627734234998	1164.2673274301224	1258.2078604221267	1453.328354856351	1147.5803450047995	1163.5313605763295	1382.7562860103842	1233.0713905909033	1982.7939292067074	1946.6765014121004	1848.9889946036901	1706.3354499303523	1492.1730985639012	1178.3671812088216	1336.2486635661742	1488.2538025535268	1483.2429129539323	1610.3962355125852
3300047160_1016	465.5106144076174	387.2164155195272	398.7533403967495	453.1773611656376	382.9614150135884	527.8892855434822	544.7906674988948	576.2403178978228	533.2762060881311	493.52221041803017	732.4653638720432	873.2182965191782	843.7459872142027	725.5068255386724	480.6983778607773	819.8010731868887	705.3160633907789	598.9574291500925	0	364.855426172538	755.3402762719875	795.3992786281209	829.08404471321	852.238617158129	761.9510020626541	501.6232665020619	731.354614050472	963.6420232698558	1210.0209069330024	1229.3007457660349	1069.2074858203887	1071.1449096442734	1161.9024088300052	1168.5230493821712	1178.5767435171795	1042.055862118651	770.9778722560034	809.6789739231288	804.4496241698859	782.6845717116031	680.5176272285672	774.9382590458127	566.7169130966713	691.6922712653524	674.072057626067	636.8910593254586	0	660.1991975203017	652.269314712907	666.8765464401303	617.5613277154152	520.3410127612572	0	767.6674118477654	878.9512974043972	850.1258078012906	832.4295959171834	937.20115911274	903.910671232191	932.9387932360817	861.3288254184491	983.166209748328	897.8983765668861	721.5637822353614	0	710.5509694259607	570.8446540891542	477.06432516141155	719.2342078118046	700.9321317346647	581.4360737111228	470.811779912887	741.1265138775444	734.7603418547061	728.6141213380014	740.9919677964525	723.0942325262799	636.9805769815771	672.2501044775663	716.4419061454261	748.5399675758136	655.178149102325	637.8763947266658	775.5214257289971	698.8491548516903	612.7862963947567	593.6391267709367	606.5700680964806	596.3861340854177	552.4239184036136	670.0184442036533	759.9414608075685	763.5638098324	804.0871319473425	866.1842251163561
3300047160_102	648.7864836609498	664.9818001693817	0	571.9607602763876	471.9578888286107	530.4615862097235	771.5586509022612	692.4139340416976	644.0814497232949	565.3971715705736	1558.694728067721	1345.292586139846	971.3118123375253	621.6006538947258	0	0	0	0	0	0	1959.7794898478685	1861.5652732780447	1665.6902198187397	1368.3181885033293	1012.1110968295187	1490.542037687591	1489.5826350361674	1408.271755313567	1055.1221947255399	710.3824227436286	2016.4966151868357	2088.847440741034	2224.579142410203	1982.2594065736807	1462.1453355839099	1050.1997766427846	1201.723155731376	1157.59609559232	1111.1977440775272	1088.4856670679833	0	831.2657601121834	2127.979611400428	1955.2524205290297	1652.7337437806516	1093.282355762425	0	1754.395946581715	1491.403278120485	1160.074296623234	873.1266362308154	0	0	1738.6853878947793	2392.044333961194	2032.1954660425254	1736.1186236760113	1647.6077330994694	1309.678947644919	1251.1988751303268	884.9296439105715	795.501414387125	0	0	0	0	0	0	792.9734608254006	691.8090621149323	0	0	934.546723351824	1033.5758467077217	945.6465732475037	832.2197022747155	783.9518775564354	1299.4692902937177	1396.8324186121647	1536.4918766506753	1647.9304613774802	1691.1863111079006	1602.7652447309522	2078.6273953958184	1698.8702918175816	1130.2179449731732	1059.8317791235186	926.2928845815796	725.6083549762151	0	816.7686853161815	984.3236882085422	1031.5942376416892	1107.2504572188109	1130.1505549264873
3300047160_1021	1484.5776738608492	1512.8112207457766	1684.6794007779645	3227.9275479126345	2100.1753606367133	5173.074403803045	8232.957961570224	6628.86890783957	1391.2302034680085	1942.4455327493001	0	0	0	0	0	0	0	0	0	1600.3925655646592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1994.080745679853	1987.4842408331333	2308.5210146451623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3300047160_103	892.6109439667475	621.2427162182885	694.0396826156584	782.8583847605217	737.4298598578303	854.1144162792965	1012.414610128909	758.570656883345	882.1592632492003	863.1523093944126	710.2565948858423	711.5213615666174	655.2956209314982	620.502274496611	505.0131662485656	504.453309768574	463.83291527952656	404.0629761311425	0	296.06197970313076	984.2713845453217	1043.639228730214	1059.822406832944	1073.292548160306	1034.7735830868457	972.650862079041	914.892853178105	912.5492014605156	974.7575279502965	944.9539248782876	935.1923825768722	1031.868911434616	980.614723583519	1009.1320947466643	920.1248764854386	881.3578770294823	675.1363864344092	701.3456339300743	661.7684011141392	663.2640153130803	582.0234495155751	591.3295613753288	881.1382990920116	963.8524039907987	979.1234404156019	962.1704032307005	863.5805234977211	1183.393224180274	1172.6625886980569	1199.004141178392	1127.8005786610333	1034.437087704511	932.7477875654948	1285.525278901627	1546.3933719218676	1405.7536661320735	1374.43740882159	1155.5488072485819	1056.6209814181493	1078.4696144936834	1020.5048185304379	1010.8369996376662	894.0404296731475	781.2343342625036	519.9014735903401	700.3346806674273	524.2838095530353	436.9199814118385	602.3282705693985	555.5921607847022	489.7658978443007	414.47138207365055	796.3501525743399	822.0757738219181	768.9152203549684	751.3671985022654	729.1978135921526	840.5877083919519	828.4820428758206	886.7966836020104	904.6830846111567	854.553348887115	870.4848162841563	995.4716968260819	865.1174461367129	742.7885929431762	704.1287302193828	699.0810441104958	615.1827136076007	606.6751247684629	772.8531426278373	816.5795311240194	888.4394724332532	871.209635570585	924.1686651341616
3300047160_1033	567.5110001921759	751.5378516489761	531.0439031300917	428.9580385681733	271.0526564644504	516.9953630993596	494.5741486917788	717.607412864816	551.345094021406	553.3680605429137	447.0377632112449	468.29869330949236	530.502442943178	750.1113246559759	852.4714537980431	837.662586129144	877.8701375790806	976.0543541495593	873.667147438703	940.2333973947701	941.558187848701	1041.6283176148743	1092.0033275108538	1204.2346209499592	1268.997534537276	375.1466597253888	425.700214900523	419.1357115743094	456.18528436661626	546.5840220334132	700.4501359522923	692.8478688553572	692.2874359008035	747.3562341553201	770.1866646717862	909.6407901561464	607.0373568872053	591.0958766548287	629.642112776588	624.5584313042743	592.487210753703	674.9360244556474	583.6683996861534	632.8739068780018	662.2533284923028	717.8347869105461	838.1165797829846	428.4885846321879	439.5715009075964	500.5748302724217	526.6369412551328	546.5315097202647	536.3607513204558	508.56572985742906	546.4501814706606	520.2872021354127	540.4821153995753	655.5684828564607	639.3101138654221	636.8906923886909	698.8816050088365	469.3210420061626	597.774937111563	758.352627455631	687.5705329603483	550.9447086480835	566.1612519343604	582.297121054597	580.8639493671875	605.179685808356	600.6093119656377	583.1301100310405	539.2916104024197	520.3550501207836	546.0979253644745	561.9132649686351	559.1385457443205	0	477.0586082482827	474.96823801811985	491.3687045788922	777.2701382394549	781.0418886517303	856.3959272935303	825.931302870392	0	0	0	0	0	498.4106752513545	492.7477926198576	510.95387800518796	509.98374955378745	518.7542654731951
3300047160_1039	992.4648629744603	0	0	615.9663397144276	931.2301198437472	595.0498220785689	0	0	523.5438161743868	0	882.3166067388076	933.2871781738286	0	0	0	0	0	0	0	0	0	0	0	0	0	1155.7298631822125	0	0	0	0	0	0	1131.3508544154288	1053.9369757783177	1004.3132837706104	0	0	0	0	0	0	0	1871.4029382082665	1547.8257152849203	1249.730620993151	0	0	1394.0802669160923	1196.3885444839002	1111.6485196565	0	0	0	2899.2325849463173	3576.5905066495984	3316.5359587520725	2932.436186901003	2245.161804554347	1879.3929393808924	1780.875404843392	1371.1077128736172	934.6905426519744	0	0	0	0	0	0	0	0	0	0	1358.3587543657875	1348.3436838010584	1335.6246630616156	1354.9919747997608	1200.2718665623713	0	1325.4678146492715	1522.0677491723104	1747.2211313785326	0	0	837.4372697030237	0	2353.189749768655	2203.496213022331	2129.641176580312	1905.940775666366	1447.297104102566	1004.0325137729258	1007.1493453482611	1257.2231732587434	0	1358.1481216599252
