bins	GRE.bulkMG.AN108_Mean	GRE.bulkMG.AN111_Mean	GRE.bulkMG.HF170_Mean	GRE.bulkMG.HF172_Mean	GRE.bulkMG.LF176_Mean	GRE.bulkMG.LF178_Mean	GRE.bulkMG.OX080_Mean	GRE.bulkMG.OX082_Mean	GRE.bulkMG.T0000_Mean	GRE.bulkMG.T000H_Mean	GRE.SIPMG.052b4f22_Mean	GRE.SIPMG.052b4f23_Mean	GRE.SIPMG.052b4f24_Mean	GRE.SIPMG.052b4f25_Mean	GRE.SIPMG.052b4f26_Mean	GRE.SIPMG.053b4f23_Mean	GRE.SIPMG.053b4f24_Mean	GRE.SIPMG.053b4f25_Mean	GRE.SIPMG.053b4f26_Mean	GRE.SIPMG.053b4f27_Mean	GRE.SIPMG.065b5f19_Mean	GRE.SIPMG.065b5f20_Mean	GRE.SIPMG.065b5f21_Mean	GRE.SIPMG.065b5f22_Mean	GRE.SIPMG.065b5f23_Mean	GRE.SIPMG.066b5f18_Mean	GRE.SIPMG.066b5f19_Mean	GRE.SIPMG.066b5f20_Mean	GRE.SIPMG.066b5f21_Mean	GRE.SIPMG.066b5f22_Mean	GRE.SIPMG.082b2f19_Mean	GRE.SIPMG.082b2f20_Mean	GRE.SIPMG.082b2f21_Mean	GRE.SIPMG.082b2f22_Mean	GRE.SIPMG.082b2f23_Mean	GRE.SIPMG.082b2f24_Mean	GRE.SIPMG.084b2f17_Mean	GRE.SIPMG.084b2f18_Mean	GRE.SIPMG.084b2f19_Mean	GRE.SIPMG.084b2f20_Mean	GRE.SIPMG.084b2f21_Mean	GRE.SIPMG.084b2f22_Mean	GRE.SIPMG.088b5f20_Mean	GRE.SIPMG.088b5f21_Mean	GRE.SIPMG.088b5f22_Mean	GRE.SIPMG.088b5f23_Mean	GRE.SIPMG.088b5f24_Mean	GRE.SIPMG.089b5f20_Mean	GRE.SIPMG.089b5f21_Mean	GRE.SIPMG.089b5f22_Mean	GRE.SIPMG.089b5f23_Mean	GRE.SIPMG.089b5f24_Mean	GRE.SIPMG.089b5f25_Mean	GRE.SIPMG.108b1f22_Mean	GRE.SIPMG.108b1f23_Mean	GRE.SIPMG.108b1f24_Mean	GRE.SIPMG.108b1f25_Mean	GRE.SIPMG.109b1f22_Mean	GRE.SIPMG.109b1f23_Mean	GRE.SIPMG.109b1f24_Mean	GRE.SIPMG.109b1f25_Mean	GRE.SIPMG.117b4f26_Mean	GRE.SIPMG.117b4f27_Mean	GRE.SIPMG.117b4f28_Mean	GRE.SIPMG.117b4f29_Mean	GRE.SIPMG.166b4f23_Mean	GRE.SIPMG.166b4f25_Mean	GRE.SIPMG.166b4f26_Mean	GRE.SIPMG.168b4f23_Mean	GRE.SIPMG.168b4f24_Mean	GRE.SIPMG.168b4f25_Mean	GRE.SIPMG.168b4f26_Mean	GRE.SIPMG.169b2f19_Mean	GRE.SIPMG.169b2f20_Mean	GRE.SIPMG.169b2f21_Mean	GRE.SIPMG.169b2f22_Mean	GRE.SIPMG.169b2f23_Mean	GRE.SIPMG.171b2f17_Mean	GRE.SIPMG.171b2f18_Mean	GRE.SIPMG.171b2f19_Mean	GRE.SIPMG.171b2f20_Mean	GRE.SIPMG.174b1f20_Mean	GRE.SIPMG.174b1f21_Mean	GRE.SIPMG.174b1f22_Mean	GRE.SIPMG.174b1f23_Mean	GRE.SIPMG.176b2f18_Mean	GRE.SIPMG.176b2f19_Mean	GRE.SIPMG.176b2f20_Mean	GRE.SIPMG.176b2f21_Mean	GRE.SIPMG.176b2f22_Mean	GRE.SIPMG.178b2f15_Mean	GRE.SIPMG.178b2f16_Mean	GRE.SIPMG.178b2f17_Mean	GRE.SIPMG.178b2f18_Mean	GRE.SIPMG.178b2f19_Mean
3300047160_1000	0	0	0	0.018127833814456526	0.03320985498162574	0.05251079860845003	0.041129127764584876	0.02986126373196756	0	0	0.07446064499472575	0.06721834034609833	0.05315601782230983	0	0	0	0	0	0	0	0	0	0	0	0	0.052798016298192044	0.05853492923817597	0.05428133018275439	0.04219626884889995	0	0.06330091154877303	0.06605317240553552	0.06531327147137697	0.06865073992671247	0.0660289945596058	0.05897985178588023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029744162251182878	0	0	0	0	0	0.047223569027041196	0.04907102178842409	0.049560514041223684	0.04348810910263799	0.044332094410272145	0.04890202771203821	0	0.06417221158470189	0.06450737712625065	0.06424276880757704	0.05877280356276004	0.054757427001472694	0.08978710730952598	0.09338256412672344	0.09912487460022894	0.0986910025782158	0.09911928284849296
3300047160_1008	0.03641062862136833	0.028655492673403744	0.042038942789208424	0.04179098476956638	0.05272159633020665	0.041915223137142105	0.03930548822691998	0.0392191286959181	0.043630041634276966	0.042503878980994114	0.07063234271034513	0.08134883796413253	0.07489951602895877	0.06449361931647803	0.04125849907465096	0.05141030234045107	0	0	0	0	0.07090446019749473	0.07134178061060042	0.07424769727071792	0.06553111356144145	0.05957829569659251	0.071665589356297	0.09260625534924816	0.1068128602937074	0.1107942819199625	0.10431339518586827	0.0758854582489712	0.07944009416581839	0.0875639063038471	0.08678874650887404	0.079891728637041	0.07327416228481871	0.07032339341147863	0.07178196955534903	0.07287526378183377	0.07170364875967365	0	0.060908452099076214	0.04891853064407927	0.06014508653421186	0.06804537448755181	0.06829989780245194	0.12557587801370207	0.05730050741865979	0.06287023767396854	0.06762190737079464	0.06791575361847757	0.0609134975828269	0.05176150398130317	0.07757172172829695	0.08613533519291017	0.08637148946677109	0.08492948750006844	0.08408843232168867	0.08225586630419215	0.08041786747751922	0.07714270342709	0.10581276298616603	0.09224301950703964	0.06760246457637632	0	0.08128213683753484	0.06347234467705319	0.05444622051774545	0.06978510423456377	0.06487888840358645	0	0	0.07968101195156614	0.07666086021669113	0.07150829117025322	0.07629066529320869	0.07198194328161185	0.06927822701784193	0.07161892298533028	0.07338669529450556	0.08140547027551927	0.06801236970482577	0.06887873206168847	0.07361690266414612	0	0.09894415708346078	0.09436787440466285	0.09163173845395137	0.09003287244210538	0.07911270522280071	0.06834456058350365	0.0702424531135611	0.07786102579395679	0.07759645720641016	0.07733859684982183
3300047160_101	0.033264418057089344	0.035200060801343844	0.04262934302949008	0.027964315610214823	0.01966314627166741	0.03552053554046422	0.030362752694658986	0.0471418159099891	0.03685636929879016	0.03544911409645449	0.03491683492992167	0.05344730164311279	0.06207507543471806	0.07057429014461451	0.05778921598983232	0.07839273125381908	0.08049711929849744	0.07748733776438813	0.07131904423654722	0.05799795014865673	0.06570647648201151	0.07276727366755173	0.08107345306734041	0.08844266656404128	0.08908125220185148	0	0	0	0.04853369438968334	0.06598177331763583	0.0703926449148449	0.0733482630172305	0.07305884844936263	0.0799264713457222	0.08402067725063836	0.08863986311904108	0.05069686433698254	0.051672437529060714	0.050026067947523865	0.05142284638878853	0.049346582319009215	0.050336189769614306	0.039246568814286405	0.048551076437684616	0.05947514515464927	0.06286926252417029	0.09915896470308093	0.031567485930441404	0.03898747034455536	0.04522783141676772	0.04937125275627172	0.046818721200351625	0.043791509922468844	0.0530480503418477	0.04867721165371256	0.05374525814358017	0.05780444815098294	0.06596297628793871	0.06769793279125888	0.06774237929061362	0.07321109545129467	0.06360305275953755	0.07380466307805542	0.06947548964141309	0.05377222471606062	0.04929492203062201	0.052277687532588206	0.04627207997041909	0.06351159869909924	0.06373417256877893	0.06622033499372393	0.05909711909920447	0.048075123337122216	0.050447419707336225	0.049705764398822315	0.052169403817913754	0.05190191192042697	0.04558020397243517	0.04854483376855003	0.04867765450747968	0.05093577498270245	0.06981224074018096	0.07003796646830787	0.07583720499763502	0.07990677890860348	0.03103439516177421	0.031434825519176327	0.033408467894829826	0.03346432183357527	0.032785467829875285	0.04720604858229664	0.050726932144301067	0.05273152450009863	0.05383780007993535	0.05319713360013125
3300047160_1011	0.046250056281408845	0.08476213758575676	0.073618766782692	0.062124109705673614	0.07987296809100548	0.07184840213152871	0.07077005399280331	0.06930195357123997	0.067456677747778	0.061676497164090176	0.14629157849680427	0.18429373124421985	0.18031627472756448	0.13765665944579103	0.08730299234744433	0.1339271899062637	0.1170451417148386	0.09937383684084872	0	0.05940365198770067	0.21967256094651808	0.23218658587100716	0.23202907392724315	0.22911922385461161	0.1970402914190066	0.10660647049920005	0.1876736245507037	0.28966981388737123	0.3498331432415288	0.33733855127780815	0.1785178519191994	0.19582132652699447	0.214129621761933	0.21851675400242723	0.18917839606138082	0.1547229649236903	0.11830369339324719	0.12061412827229712	0.1201545471561405	0.11642521848230525	0	0.10671717796331745	0.10568715415497595	0.1419367883658794	0.15184952253762446	0.15610432404350857	0.20586431821858978	0.08632377989191009	0.10022280548036748	0.10246541239669477	0.10287939199000394	0.08579791401791394	0	0.12681491317588853	0.1376289921246737	0.14194672315803636	0.14279250981383368	0.24014481672582924	0.22663812600021596	0.2180200111790034	0.19746394640343304	0.2097948326889434	0.18433153756337511	0.12998756131594588	0	0.11818267754821726	0.09941290167346328	0.08414996346061628	0.15057113665509378	0.13631797483729954	0.1299319481659753	0.10123418263391695	0.15330552278803272	0.1474248226524388	0.14527050406389347	0.14564306831714408	0.14924536771024738	0.1081527784652237	0.11714023771393133	0.12772435924486925	0.14616135496677884	0.12426555442190265	0.12783753705334475	0.14381099170743564	0.14109724122043082	0.19890429597590334	0.19353636670869678	0.18231626864190384	0.17224650009211762	0.14758099056131835	0.1283104591597331	0.1421414024440224	0.15693759640144606	0.15980983276049826	0.16361268412777374
3300047160_1016	0.0362413051541009	0.02948209178936406	0.03793252942688357	0.03871081189172408	0.033060129737940105	0.04883582974527438	0.05059652485407196	0.055249174785669486	0.05051691877036756	0.045619204155814136	0.07671473942002534	0.0999428007013814	0.09423171511454219	0.07247980356000061	0.04606341773235523	0.08750069533627715	0.07635623699957765	0.06502735965524327	0	0.03659553888889436	0.0840030516161296	0.08572247827723876	0.09255510984160578	0.09392893096753618	0.08502059385570981	0.04304954878153185	0.0736917342671909	0.11121667303356612	0.12781945866182856	0.12914322587086663	0.11261786714340843	0.11425009126370515	0.12127806476499148	0.12283717205510279	0.12307915386955623	0.10500894765511433	0.08144899029364051	0.08541346852626151	0.0828860110572892	0.08086551264679157	0.07620454778179213	0.07828179155884142	0.037952838221995154	0.052368884518606634	0.05835712071547461	0.05710577591799371	0	0.04690190493032909	0.05272495999054726	0.05822728297104728	0.05685612204642828	0.0497432176948782	0	0.07124643235274497	0.07825383607870284	0.07742401309977782	0.07880326689303431	0.08750530703817991	0.08562396866352084	0.09115608486531124	0.08580100389237376	0.10447089881324616	0.0940744464053385	0.07134797258920567	0	0.07249299646323441	0.06236216913493668	0.051464241785719865	0.07759675827630907	0.07620221024170817	0.06653917871417035	0.05435834607290374	0.07520817072227062	0.07319899443621553	0.0735507797752067	0.07463927058191305	0.07310603432190284	0.06582208456313544	0.06763698953532955	0.07272811295893257	0.07528072753970565	0.07094586126165825	0.07008366943021872	0.08065666123004261	0.07996754164537875	0.06147175713658021	0.05901892772015786	0.059809761879582764	0.06020236191182368	0.05463660292913319	0.07295720348649605	0.08083760752004489	0.08051843631013857	0.0866351889896841	0.08800239524610792
3300047160_102	0.0505098449025351	0.050630742099469654	0	0.04885739513455994	0.040742979380741395	0.049073797138874505	0.0716572231972562	0.06638775052301372	0.061013429636864555	0.05226303589690593	0.16324984879417642	0.15397330696983125	0.10847859352763113	0.06209933759562696	0	0	0	0	0	0	0.21795138272574063	0.20062626782296591	0.1859499555449056	0.1508083089430178	0.11293414703498704	0.12791903096881588	0.15009124930813914	0.16253265794870264	0.11145687399215021	0.0746286683637418	0.21239427418523732	0.2227999298618484	0.23219906530682335	0.20837855095103128	0.15269231446137288	0.10582961756836998	0.1269545354919176	0.1221154319938966	0.11449162972446639	0.1124603124393393	0	0.08397181608148842	0.14251006819238501	0.14803459929962048	0.1430837868224609	0.09802734126836199	0	0.12463588596561417	0.12055477146473467	0.10129007339889093	0.08038488221918412	0	0	0.16136562391411893	0.21296588986848766	0.1850793458336729	0.1643524208299764	0.15383508562861828	0.12406083116548988	0.12225281194400968	0.08815199210912365	0.0845297030595725	0	0	0	0	0	0	0.0855523406574363	0.07521039086614023	0	0	0.0948361018013664	0.10296787720141524	0.09545936706027774	0.08382853558642717	0.07925884385376843	0.1342800402458496	0.14053927110015474	0.15597378350848443	0.16573250519822744	0.1831298396624915	0.17609629469687588	0.21618377015996562	0.1943974316458181	0.11337799724561555	0.10536727170908501	0.0913354610975694	0.07324673444916907	0	0.0889365952407995	0.10470592286875355	0.10878246696853044	0.11929907693927354	0.11482078862483192
3300047160_1021	0.1155785299800801	0.11518323470394731	0.16025985106806054	0.27573243241003054	0.18130304300398323	0.47856887374341883	0.7646222429571309	0.6355673588696356	0.13179035999941183	0.17955183667414157	0	0	0	0	0	0	0	0	0	0.160521741405931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20344337656840847	0.21712356854357023	0.24903619365148852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3300047160_103	0.06949226205154303	0.047300512191477025	0.06602247057804962	0.06687245715976292	0.0636605304966972	0.07901540599267262	0.09402631880458348	0.0727307713599788	0.08356639080334731	0.07978632083543528	0.07438870462076953	0.08143603714820487	0.07318509504418837	0.061989606962906035	0.04839340740189578	0.05384234884915077	0.05021370963398305	0.04386814019408966	0	0.02969545445824171	0.10946298313168122	0.11247601489959042	0.11831367386999868	0.11829224777479773	0.1154628897423644	0.08347336244280561	0.0921851585046543	0.10531990481433667	0.10296762546438193	0.09927139357755231	0.09850227658456734	0.11006084820282301	0.10235546036609182	0.10608171812636698	0.09608894106818675	0.08881526081168341	0.071323936735917845	0.0739853264800287	0.06818493211270055	0.06852720311219407	0.06517514314708003	0.059734226470070345	0.05900953111476765	0.07297446759848437	0.08476664202476278	0.08627140644745691	0.10186927763804739	0.08407068155212663	0.09478996892369551	0.10468917190825137	0.10383157828485826	0.09888943593410433	0.09289332219147488	0.11930829472173976	0.1376768130349437	0.12802703936628465	0.13011329545029032	0.10789215548091952	0.10008962686416426	0.10537568854055404	0.10165727109432089	0.10741118730358354	0.09367024229075115	0.07724817575243294	0.05435325663391584	0.07145069349454229	0.057275609698446896	0.04713359263823212	0.06498400758295216	0.06040149784542544	0.056048501422976994	0.047853473055077055	0.08081216514055671	0.081897615543923	0.07761901997490586	0.0756843556646891	0.07372311655934412	0.08686173052040727	0.08335592793659478	0.0900213245810922	0.09098405396168124	0.09253517293563165	0.09564042597096775	0.10353217944884284	0.09899320178295551	0.07451295869026839	0.07000367859940532	0.06893164200137927	0.06209978778815495	0.060002231609999054	0.0841547042169763	0.08686239539524322	0.09368667838282159	0.09386720472009027	0.0938934856869269
3300047160_1033	0.04418232087456587	0.05722099331912032	0.05051704008901017	0.03664197588719838	0.02339931814856617	0.04782801663690324	0.04593274940143102	0.06880326861802549	0.05222857313179481	0.051151113352793966	0.04682048763967581	0.05359837644345557	0.059247872971867746	0.07493784971468741	0.0816889560891765	0.08940712709554488	0.09503662791627335	0.1059678608885651	0.10347737134316089	0.09430680042216522	0.10471275468562902	0.11225929319888749	0.12190620307996344	0.13272394409573945	0.14159824410719668	0.03219526586295309	0.04289381171767718	0.048373647335009526	0.04818871786689033	0.057420955822231584	0.07377726156746049	0.07390030194409128	0.07226018282526117	0.07856338509533847	0.08043084468689697	0.09166535652345616	0.06412970017454114	0.062355020548493914	0.06487481820330106	0.06452821423942139	0.06634687795797034	0.06817988473952294	0.03908807349252465	0.047915672794063856	0.057333925947260105	0.064363460417972	0.0988655119422559	0.030440707797940253	0.03553193332195735	0.04370690864155768	0.04848511858235662	0.052246959586864546	0.053416725022008296	0.04719946855891427	0.04865095830936374	0.047384425674552255	0.051165595985107025	0.06120961419981301	0.06055937925952806	0.062229657964945465	0.06961887439740524	0.04986989036462504	0.06262996765711076	0.07498564064431901	0.0718822691034713	0.05620938473664968	0.061850528857302474	0.06281643428051986	0.06266826435800138	0.06579243205451495	0.06873335204539091	0.06732624305293027	0.054726331799991416	0.051839306300202885	0.05512647513668885	0.056600878349981155	0.05652984061713911	0	0.04799821953007187	0.048215414774293246	0.04941699197537534	0.0841665728106478	0.08581330487841186	0.08906786311103174	0.09450923049699707	0	0	0	0	0	0.054271116517357366	0.05241529080916782	0.053880509727941936	0.054947451300779555	0.0527042822785696
3300047160_1039	0.07726616932151263	0	0	0.05261639073714401	0.08039083670301199	0.05504895173439006	0	0	0.04959497561014168	0	0.09240940515482587	0.10681788828428766	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09918528992939223	0	0	0	0	0	0	0.11808912792588705	0.11079168502270127	0.10488076390983056	0	0	0	0	0	0	0	0.12532721597082314	0.11718781531330662	0.10819419064479266	0	0	0.0990383211456959	0.0967078118166985	0.09706185239818735	0	0	0	0.2690748298681386	0.3184271165586907	0.3020488510758452	0.27760371882085483	0.20962796636307696	0.17802763842651373	0.1740067308974791	0.1365824697112396	0.09931989132141615	0	0	0	0	0	0	0	0	0	0	0.13784377591072494	0.13432597839933058	0.13482614813281682	0.13648678668428105	0.12134948990805848	0	0.13335907590303786	0.15450954814818205	0.17571817623699798	0	0	0.08709610324480178	0	0.23606061304752513	0.21906909073765823	0.20998947748928987	0.19239571445625617	0.14314260219913566	0.10932744471154379	0.1071339671437519	0.13257522514835274	0	0.13798483548810928
