genome	LF	OX	AN	HF
3300047160_1000	0	0	0	0
3300047160_1008	0	0	1	0
3300047160_101	0	0	1	0
3300047160_1011	0	0	1	0
3300047160_1016	0	0	1	0
3300047160_102	0	0	1	0
3300047160_1021	0	0	0	1
3300047160_103	0	0	1	0
3300047160_1033	1	0	1	1
3300047160_1039	0	1	1	0
3300047160_104	0	0	1	0
3300047160_1044	0	0	1	0
3300047160_1046	0	1	1	0
3300047160_105	0	0	1	0
3300047160_1053	0	0	1	0
3300047160_1055	1	0	1	0
3300047160_1059	0	0	1	0
3300047160_106	1	0	1	1
3300047160_1066	0	0	1	0
3300047160_1071	0	0	1	0
3300047160_1073	0	0	1	0
3300047160_1076	0	0	1	0
3300047160_1077	0	0	1	1
3300047160_1079	0	0	1	0
3300047160_1081	0	0	1	1
3300047160_1082	0	0	1	0
3300047160_1085	1	1	1	0
3300047160_1089	1	0	0	1
3300047160_1090	1	0	0	1
3300047160_1097	0	0	1	0
3300047160_1099	0	1	1	1
3300047160_1115	0	0	1	1
3300047160_1122	0	1	1	0
3300047160_1125	0	0	1	1
3300047160_1132	0	0	1	0
3300047160_1137	0	0	1	0
3300047160_1146	0	0	1	0
3300047160_1155	1	1	0	1
3300047160_1171	0	0	1	0
3300047160_1176	0	1	0	1
3300047160_1185	0	0	1	1
3300047160_1190	0	0	1	0
3300047160_1191	0	1	0	0
3300047160_1208	1	0	1	0
3300047160_1219	0	0	1	0
3300047160_125	0	0	1	0
3300047160_1260	0	0	1	0
3300047160_127	0	1	1	0
3300047160_1272	0	0	1	0
3300047160_1283	0	0	1	1
3300047160_1320	0	1	0	0
3300047160_133	0	0	1	1
3300047160_137	0	1	1	1
3300047160_144	1	1	0	1
3300047160_148	0	0	1	0
3300047160_152	0	1	1	0
3300047160_164	0	0	1	0
3300047160_168	0	0	1	1
3300047160_185	1	1	1	1
3300047160_197	0	0	1	0
3300047160_198	0	1	0	0
3300047160_203	1	0	1	1
3300047160_205	1	0	1	0
3300047160_209	0	0	1	0
3300047160_211	0	0	1	0
3300047160_212	0	0	1	1
3300047160_214	1	0	1	1
3300047160_215	0	0	1	0
3300047160_219	0	0	1	0
3300047160_221	1	0	1	1
3300047160_228	0	0	1	0
3300047160_234	1	0	0	1
3300047160_238	0	0	1	0
3300047160_250	0	0	1	0
3300047160_259	0	0	0	0
3300047160_262	0	0	1	0
3300047160_266	0	0	1	0
3300047160_267	0	0	1	0
3300047160_27	0	0	1	1
3300047160_274	0	1	0	1
3300047160_283	1	1	0	1
3300047160_298	0	0	1	0
3300047160_300	0	0	1	0
3300047160_301	1	1	0	1
3300047160_303	0	1	1	1
3300047160_304	0	1	0	0
3300047160_305	0	0	1	0
3300047160_311	0	0	1	0
3300047160_316	0	0	1	1
3300047160_317	0	0	1	0
3300047160_324	0	0	1	1
3300047160_328	0	0	1	0
3300047160_331	0	1	1	0
3300047160_334	0	1	0	0
3300047160_335	0	0	1	0
3300047160_342	0	0	1	0
3300047160_343	1	1	0	1
3300047160_348	0	0	1	1
3300047160_352	0	0	1	0
3300047160_357	0	0	1	0
3300047160_363	0	0	1	0
3300047160_367	0	0	1	1
3300047160_369	0	0	1	1
3300047160_379	0	0	1	0
3300047160_386	0	0	1	0
3300047160_391	0	0	1	0
3300047160_398	0	0	1	0
3300047160_400	0	0	1	0
3300047160_401	0	0	1	0
3300047160_402	0	1	0	1
3300047160_405	0	0	1	0
3300047160_408	0	0	1	0
3300047160_425	0	0	1	0
3300047160_427	0	1	0	0
3300047160_434	0	0	1	0
3300047160_441	0	0	0	0
3300047160_442	0	0	1	1
3300047160_451	0	0	1	0
3300047160_452	0	0	1	0
3300047160_457	1	1	0	1
3300047160_468	0	0	1	0
3300047160_475	1	0	1	0
3300047160_48	0	0	1	0
3300047160_482	0	0	1	0
3300047160_496	0	0	1	0
3300047160_50	0	0	1	0
3300047160_500	0	0	1	0
3300047160_501	0	0	1	0
3300047160_502	0	0	1	0
3300047160_506	0	0	1	0
3300047160_509	0	0	1	0
3300047160_518	0	0	1	0
3300047160_520	0	0	0	1
3300047160_524	1	0	1	1
3300047160_525	0	0	1	0
3300047160_526	0	0	1	1
3300047160_527	0	0	1	0
3300047160_530	1	0	1	0
3300047160_533	0	0	1	0
3300047160_534	0	0	1	1
3300047160_538	0	0	1	1
3300047160_540	0	0	1	0
3300047160_545	0	1	1	0
3300047160_546	0	0	1	0
3300047160_547	0	0	1	0
3300047160_55	0	0	1	0
3300047160_552	0	1	1	0
3300047160_561	0	1	0	0
3300047160_564	0	0	1	1
3300047160_567	0	0	1	1
3300047160_568	0	0	1	1
3300047160_571	1	0	1	1
3300047160_578	0	0	1	0
3300047160_581	0	0	1	0
3300047160_590	0	0	1	0
3300047160_597	0	0	1	0
3300047160_598	0	0	1	0
3300047160_603	1	1	0	0
3300047160_607	0	0	1	0
3300047160_614	1	0	0	1
3300047160_617	0	0	1	1
3300047160_618	0	0	1	0
3300047160_624	0	0	1	0
3300047160_627	0	0	1	1
3300047160_628	1	0	1	1
3300047160_642	0	0	1	1
3300047160_649	0	0	0	0
3300047160_653	0	0	1	0
3300047160_656	0	1	0	0
3300047160_663	0	0	0	0
3300047160_666	0	0	1	1
3300047160_667	0	0	1	0
3300047160_668	0	0	1	1
3300047160_669	0	0	1	1
3300047160_673	1	1	0	1
3300047160_674	0	0	1	1
3300047160_676	0	0	0	0
3300047160_679	0	0	1	1
3300047160_68	1	0	0	0
3300047160_680	0	0	1	0
3300047160_682	0	0	0	0
3300047160_683	1	0	1	0
3300047160_685	0	0	1	0
3300047160_690	0	1	0	0
3300047160_691	0	1	0	1
3300047160_692	0	0	1	0
3300047160_693	0	0	1	0
3300047160_699	0	1	0	1
3300047160_701	0	0	1	0
3300047160_709	0	0	1	1
3300047160_715	0	0	1	1
3300047160_716	0	0	1	1
3300047160_718	1	1	0	1
3300047160_723	0	0	1	0
3300047160_725	0	0	1	0
3300047160_726	0	0	1	0
3300047160_73	0	0	1	0
3300047160_731	0	0	1	1
3300047160_732	1	1	0	1
3300047160_735	1	0	1	0
3300047160_739	0	1	1	1
3300047160_740	0	0	1	0
3300047160_742	1	0	1	0
3300047160_743	0	0	1	0
3300047160_747	0	0	0	1
3300047160_748	0	0	1	0
3300047160_750	0	0	1	0
3300047160_757	0	0	1	0
3300047160_760	1	1	1	1
3300047160_761	0	0	1	1
3300047160_766	0	0	1	0
3300047160_768	1	1	0	1
3300047160_774	0	0	1	0
3300047160_78	0	0	1	0
3300047160_780	0	0	1	0
3300047160_79	0	0	1	1
3300047160_791	0	0	1	0
3300047160_792	0	0	1	0
3300047160_797	0	0	1	0
3300047160_800	0	0	1	0
3300047160_807	1	0	0	0
3300047160_809	1	0	1	0
3300047160_810	0	0	1	0
3300047160_817	0	0	1	0
3300047160_840	0	0	1	0
3300047160_843	0	0	1	0
3300047160_846	0	0	1	0
3300047160_873	0	0	1	0
3300047160_874	1	1	0	1
3300047160_876	0	0	1	0
3300047160_877	0	0	1	1
3300047160_881	1	1	0	1
3300047160_882	0	0	1	1
3300047160_884	0	0	1	1
3300047160_887	0	1	1	1
3300047160_888	1	0	1	1
3300047160_890	0	0	1	0
3300047160_891	0	0	1	1
3300047160_892	0	0	1	0
3300047160_893	1	0	0	0
3300047160_894	0	0	1	0
3300047160_895	0	0	1	0
3300047160_897	0	0	1	1
3300047160_900	0	1	1	0
3300047160_901	0	0	1	0
3300047160_903	1	1	0	1
3300047160_904	0	0	1	0
3300047160_906	0	0	0	0
3300047160_909	0	0	1	0
3300047160_912	0	0	1	1
3300047160_916	1	0	1	1
3300047160_919	1	0	0	1
3300047160_920	0	0	1	0
3300047160_923	0	1	1	0
3300047160_924	1	0	0	1
3300047160_925	1	1	0	1
3300047160_927	0	0	1	1
3300047160_928	0	0	1	0
3300047160_929	0	1	1	1
3300047160_93	1	1	0	0
3300047160_930	0	0	1	1
3300047160_931	0	0	1	0
3300047160_933	0	0	1	1
3300047160_935	1	0	1	0
3300047160_937	1	0	0	1
3300047160_939	1	0	1	0
3300047160_946	0	0	1	1
3300047160_949	0	0	1	1
3300047160_950	0	0	0	1
3300047160_952	0	0	1	0
3300047160_955	0	0	1	0
3300047160_956	1	1	0	1
3300047160_957	0	0	1	0
3300047160_962	0	0	1	0
3300047160_964	1	0	1	0
3300047160_967	0	0	1	0
3300047160_968	0	1	1	1
3300047160_97	0	0	1	0
3300047160_971	1	0	1	0
3300047160_972	0	0	1	1
3300047160_984	0	0	1	0
3300047160_99	0	0	1	1
3300047160_990	1	0	0	1
3300047160_991	0	0	1	0
3300047160_992	0	0	1	1
3300047160_995	0	0	1	0
3300047160_996	0	0	1	1
3300047160_997	0	0	0	0
3300047160_998	0	0	1	0
GRE.SIPMG.052b4f26_bin.20	0	0	1	1
GRE.SIPMG.066b5f18_bin.18	1	1	0	1
GRE.SIPMG.082b2f20_bin.18	0	0	1	0
GRE.SIPMG.117b4f26_bin.29	0	0	1	0
GRE.SIPMG.169b2f20_bin.29	0	0	1	0
GRE.SIPMG.176b2f22_bin.12	0	0	1	0
GRE.bulkMG.LF176_bin.18	0	0	1	0
GRE.bulkMG.LF176_bin.7	0	0	1	0
GRE.bulkMG.OX080_bin.28	0	0	1	1
GRE.bulkMG.T000H_bin.41	0	0	1	0
GRE.bulkMG.T000H_bin.8	0	0	1	0
